,Title,URL,Year,Rating,Actors,Director
207,Rush,http://www.imdb.com/title/tt1979320/,2013,8.1," Daniel Brühl, Chris Hemsworth",Ron Howard 
208,Logan,http://www.imdb.com/title/tt3315342/,2017,8.1," Hugh Jackman, Patrick Stewart",James Mangold 
209,Les quatre cents coups,http://www.imdb.com/title/tt0053198/,1959,8.1," Jean-Pierre Léaud, Albert Rémy",François Truffaut 
210,Catch Me If You Can,http://www.imdb.com/title/tt0264464/,2002,8.1," Leonardo DiCaprio, Tom Hanks",Steven Spielberg 
211,Spotlight,http://www.imdb.com/title/tt1895587/,2015,8.1," Mark Ruffalo, Michael Keaton",Tom McCarthy 
212,Andrei Rublev,http://www.imdb.com/title/tt0060107/,1966,8.1," Anatoliy Solonitsyn, Ivan Lapikov",Andrei Tarkovsky 
213,Amores perros,http://www.imdb.com/title/tt0245712/,2000,8.1," Emilio Echevarría, Gael García Bernal",Alejandro G. Iñárritu 
214,Harry Potter and the Deathly Hallows: Part 2,http://www.imdb.com/title/tt1201607/,2011,8.1," Daniel Radcliffe, Emma Watson",David Yates 
215,La passion de Jeanne d'Arc,http://www.imdb.com/title/tt0019254/,1928,8.1," Maria Falconetti, Eugene Silvain",Carl Theodor Dreyer 
216,Kaze no tani no Naushika,http://www.imdb.com/title/tt0087544/,1984,8.0," Sumi Shimamoto, Mahito Tsujimura",Hayao Miyazaki 
217,The Princess Bride,http://www.imdb.com/title/tt0093779/,1987,8.0," Cary Elwes, Mandy Patinkin",Rob Reiner 
218,Rocky,http://www.imdb.com/title/tt0075148/,1976,8.0," Sylvester Stallone, Talia Shire",John G. Avildsen 
219,Barry Lyndon,http://www.imdb.com/title/tt0072684/,1975,8.0," Ryan O'Neal, Marisa Berenson",Stanley Kubrick 
220,Butch Cassidy and the Sundance Kid,http://www.imdb.com/title/tt0064115/,1969,8.0," Paul Newman, Robert Redford",George Roy Hill 
221,Rang De Basanti,http://www.imdb.com/title/tt0405508/,2006,8.0," Aamir Khan, Soha Ali Khan",Rakeysh Omprakash Mehra 
222,"Monsters, Inc.",http://www.imdb.com/title/tt0198781/,2001,8.0," Billy Crystal, John Goodman",Pete Docter 
223,Dead Poets Society,http://www.imdb.com/title/tt0097165/,1989,8.0," Robin Williams, Robert Sean Leonard",Peter Weir 
224,The Grapes of Wrath,http://www.imdb.com/title/tt0032551/,1940,8.0," Henry Fonda, Jane Darwell",John Ford 
225,The Maltese Falcon,http://www.imdb.com/title/tt0033870/,1941,8.0," Humphrey Bogart, Mary Astor",John Huston 
226,The Terminator,http://www.imdb.com/title/tt0088247/,1984,8.0," Arnold Schwarzenegger, Linda Hamilton",James Cameron 
227,Ah-ga-ssi,http://www.imdb.com/title/tt4016934/,2016,8.0," Min-hee Kim, Jung-woo Ha",Chan-wook Park 
228,Gandhi,http://www.imdb.com/title/tt0083987/,1982,8.0," Ben Kingsley, John Gielgud",Richard Attenborough 
229,La haine,http://www.imdb.com/title/tt0113247/,1995,8.0," Vincent Cassel, Hubert Koundé",Mathieu Kassovitz 
230,Faa yeung nin wa,http://www.imdb.com/title/tt0118694/,2000,8.0," Tony Chiu-Wai Leung, Maggie Cheung",Kar-Wai Wong 
231,Donnie Darko,http://www.imdb.com/title/tt0246578/,2001,8.0," Jake Gyllenhaal, Jena Malone",Richard Kelly 
232,Les diaboliques,http://www.imdb.com/title/tt0046911/,1955,8.0," Simone Signoret, Véra Clouzot",Henri-Georges Clouzot 
233,Da hong deng long gao gao gua,http://www.imdb.com/title/tt0101640/,1991,8.0," Li Gong, Jingwu Ma",Yimou Zhang 
234,Groundhog Day,http://www.imdb.com/title/tt0107048/,1993,8.0," Bill Murray, Andie MacDowell",Harold Ramis 
235,The Help,http://www.imdb.com/title/tt1454029/,2011,8.0," Emma Stone, Viola Davis",Tate Taylor 
236,The Wizard of Oz,http://www.imdb.com/title/tt0032138/,1939,8.0," Judy Garland, Frank Morgan",Victor Fleming 
237,Guardians of the Galaxy,http://www.imdb.com/title/tt2015381/,2014,8.0," Chris Pratt, Vin Diesel",James Gunn 
238,Jaws,http://www.imdb.com/title/tt0073195/,1975,8.0," Roy Scheider, Robert Shaw",Steven Spielberg 
239,Before Sunset,http://www.imdb.com/title/tt0381681/,2004,8.0," Ethan Hawke, Julie Delpy",Richard Linklater 
240,Tenkû no shiro Rapyuta,http://www.imdb.com/title/tt0092067/,1986,8.0," Anna Paquin, James Van Der Beek",Hayao Miyazaki 
241,"Paris, Texas",http://www.imdb.com/title/tt0087884/,1984,8.0," Harry Dean Stanton, Nastassja Kinski",Wim Wenders 
242,Pirates of the Caribbean: The Curse of the Black Pearl,http://www.imdb.com/title/tt0325980/,2003,8.0," Johnny Depp, Geoffrey Rush",Gore Verbinski 
243,Beauty and the Beast,http://www.imdb.com/title/tt0101414/,1991,8.0," Paige O'Hara, Robby Benson",Gary Trousdale 
244,Akira,http://www.imdb.com/title/tt0094625/,1988,8.0," Mitsuo Iwata, Nozomu Sasaki",Katsuhiro Ôtomo 
245,Trois couleurs: Rouge,http://www.imdb.com/title/tt0111495/,1994,8.0," Irène Jacob, Jean-Louis Trintignant",Krzysztof Kieslowski 
246,The Exorcist,http://www.imdb.com/title/tt0070047/,1973,8.0," Ellen Burstyn, Max von Sydow",William Friedkin 
247,Drishyam,http://www.imdb.com/title/tt4430212/,2015,8.0," Ajay Devgn, Shriya Saran",Nishikant Kamat 
248,PK,http://www.imdb.com/title/tt2338151/,2014,8.0," Aamir Khan, Anushka Sharma",Rajkumar Hirani 
249,Gangs of Wasseypur,http://www.imdb.com/title/tt1954470/,2012,8.0," Manoj Bajpayee, Richa Chadha",Anurag Kashyap 
