,Title,URL,Year,Rating,Actors,Director
49,Apocalypse Now,http://www.imdb.com/title/tt0078788/,1979,8.4," Martin Sheen, Marlon Brando",Francis Ford Coppola 
50,Memento,http://www.imdb.com/title/tt0209144/,2000,8.4," Guy Pearce, Carrie-Anne Moss",Christopher Nolan 
51,Alien,http://www.imdb.com/title/tt0078748/,1979,8.4," Sigourney Weaver, Tom Skerritt",Ridley Scott 
52,Hotaru no haka,http://www.imdb.com/title/tt0095327/,1988,8.4," Tsutomu Tatsumi, Ayano Shiraishi",Isao Takahata 
53,Nuovo Cinema Paradiso,http://www.imdb.com/title/tt0095765/,1988,8.4," Philippe Noiret, Enzo Cannavale",Giuseppe Tornatore 
54,The Great Dictator,http://www.imdb.com/title/tt0032553/,1940,8.4," Charles Chaplin, Paulette Goddard",Charles Chaplin 
55,Spider-Man: Into the Spider-Verse,http://www.imdb.com/title/tt4633694/,2018,8.4," Shameik Moore, Jake Johnson",Bob Persichetti 
56,Sunset Blvd.,http://www.imdb.com/title/tt0043014/,1950,8.4," William Holden, Gloria Swanson",Billy Wilder 
57,The Lives of Others,http://www.imdb.com/title/tt0405094/,2006,8.4," Ulrich Mühe, Martina Gedeck",Florian Henckel von Donnersmarck 
58,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,http://www.imdb.com/title/tt0057012/,1964,8.4," Peter Sellers, George C. Scott",Stanley Kubrick 
59,Avengers: Infinity War,http://www.imdb.com/title/tt4154756/,2018,8.4," Robert Downey Jr., Chris Hemsworth",Anthony Russo 
60,Paths of Glory,http://www.imdb.com/title/tt0050825/,1957,8.4," Kirk Douglas, Ralph Meeker",Stanley Kubrick 
61,Django Unchained,http://www.imdb.com/title/tt1853728/,2012,8.4," Jamie Foxx, Christoph Waltz",Quentin Tarantino 
62,The Shining,http://www.imdb.com/title/tt0081505/,1980,8.4," Jack Nicholson, Shelley Duvall",Stanley Kubrick 
63,WALL·E,http://www.imdb.com/title/tt0910970/,2008,8.4," Ben Burtt, Elissa Knight",Andrew Stanton 
64,Mononoke-hime,http://www.imdb.com/title/tt0119698/,1997,8.4," Yôji Matsuda, Yuriko Ishida",Hayao Miyazaki 
65,Witness for the Prosecution,http://www.imdb.com/title/tt0051201/,1957,8.4," Tyrone Power, Marlene Dietrich",Billy Wilder 
66,Oldeuboi,http://www.imdb.com/title/tt0364569/,2003,8.3," Min-sik Choi, Ji-tae Yu",Chan-wook Park 
67,The Dark Knight Rises,http://www.imdb.com/title/tt1345836/,2012,8.3," Christian Bale, Tom Hardy",Christopher Nolan 
68,Aliens,http://www.imdb.com/title/tt0090605/,1986,8.3," Sigourney Weaver, Michael Biehn",James Cameron 
69,American Beauty,http://www.imdb.com/title/tt0169547/,1999,8.3," Kevin Spacey, Annette Bening",Sam Mendes 
70,Once Upon a Time in America,http://www.imdb.com/title/tt0087843/,1984,8.3," Robert De Niro, James Woods",Sergio Leone 
71,Coco,http://www.imdb.com/title/tt2380307/,2017,8.3," Anthony Gonzalez, Gael García Bernal",Lee Unkrich 
72,Das Boot,http://www.imdb.com/title/tt0082096/,1981,8.3," Jürgen Prochnow, Herbert Grönemeyer",Wolfgang Petersen 
73,Citizen Kane,http://www.imdb.com/title/tt0033467/,1941,8.3," Orson Welles, Joseph Cotten",Orson Welles 
